Student ID,student name,Class,Gender,Attendance Percentage,Maths Marks,Science Marks,English Marks,Assignment Score,Study Hours Per Day,Previous Marks,Average Marks
ST001,Diya Verma,10th,Male,84.3,61.4,66.9,66.2,96.3,2.7,50.4,64.8
ST002,Dev Joshi,8th,Female,79.3,69.7,68.6,88,70.2,3.9,72.1,75.4
ST003,Dev Gupta,10th,Male,86.5,58.6,62.1,69.3,78,4.5,41,63.3
ST004,Diya Desai,10th,Male,93.4,59.6,81.8,74.3,84.7,3.6,63.6,71.9
ST005,Sahil Mehta,8th,Female,87,78.5,69.6,87.3,47.1,2.6,89.5,78.5
ST006,Krishna Joshi,8th,Male,92.6,90.5,91.9,93.6,93.1,4.2,73.9,92
ST007,Shreya Verma,10th,Female,75.3,48.2,53.4,54.2,52.7,1,72.2,51.9
ST008,Ishaan Joshi,9th,Male,73.3,65.2,73.6,69.7,87,1.9,91.8,69.5
ST009,Aditya Khan,10th,Female,76.5,76.4,79.8,74.9,83.2,2.1,66.8,77
ST010,Shreya Patel,10th,Male,69.3,62.2,70.2,61.1,46.9,2.8,85.1,64.5
ST011,Ved Khan,10th,Female,83.1,57.6,51.5,56.5,47.5,3.4,71.6,55.2
ST012,Aditi Gupta,10th,Female,77.7,75.2,73.9,84.3,92.2,2.6,74.6,77.8
ST013,Aarav Desai,8th,Female,94.3,63.7,72.5,81.9,89.6,1.7,55.4,72.7
ST014,Tanvi Singh,10th,Female,69.1,58,75,63.4,64.4,4,64.2,65.5
ST015,Riya Desai,9th,Female,97.5,88.5,73.9,80.7,64.4,2.5,53.2,81
ST016,Anjali Shah,8th,Male,72.2,68.8,73,78.1,81.2,2.9,68.9,73.3
ST017,Meera Mehta,9th,Male,69.6,47.1,70,70.8,74.8,3.5,74.7,62.6
ST018,Sana Singh,9th,Male,73.8,54.3,62.2,52.4,87.7,2.8,56.7,56.3
ST019,Aditya Gupta,9th,Female,100,100,94.6,99,80.8,2.9,94.6,97.9
ST020,Sahil Mehta,9th,Male,81.6,81.7,79,83.2,94,4,73.3,81.3
ST021,Shreya Singh,8th,Female,87.3,92.6,95.8,89.2,86.6,3,70.7,92.5
ST022,Diya Patel,8th,Female,80.2,73.5,68.2,87.8,83.6,3.8,79.2,76.5
ST023,Akash Singh,9th,Male,81.1,69.3,59.2,85.7,70.8,3.5,60.1,71.4
ST024,Anjali Patel,9th,Male,76.9,90.5,82.5,79.2,69.9,5.2,72,84.1
ST025,Zoya Singh,8th,Female,82.5,47.3,60.4,55.3,74.4,3.3,61.4,54.3
ST026,Zoya Gupta,8th,Male,86.9,86,93.4,100,97.1,3.6,88.7,93.1
ST027,Aditi Verma,8th,Female,98.8,84.7,90,89,70.1,4.1,57.3,87.9
ST028,Anjali Mehta,10th,Female,63.3,75.6,93.8,82,78.1,2.9,70.8,83.8
ST029,Meera Joshi,10th,Female,98.1,66,68.5,73.8,48.1,2,74,69.4
ST030,Pooja Shah,10th,Female,87.3,82.2,70.7,75.2,83.1,2.2,74.7,76
ST031,Nikhil Sharma,9th,Female,78.3,79.7,69.8,83,100,2.2,63,77.5
ST032,Akash Patel,10th,Male,76.5,75.5,62.4,66.5,63.8,1.7,59.3,68.1
ST033,Ishaan Verma,9th,Male,92.4,89.8,73.3,92.8,100,3.2,63.2,85.3
ST034,Aditi Khan,9th,Female,84.3,84.3,71.6,72,77.2,2,76.3,76
ST035,Tanvi Desai,10th,Female,66.7,57.9,68.3,66.9,44.1,3,68.3,64.4
ST036,Akash Khan,9th,Male,85.6,77.7,75.2,86,70.4,2.6,79.6,79.6
ST037,Dev Patel,10th,Male,93.4,83.2,77.9,76.8,91,2.8,75.7,79.3
ST038,Zoya Patel,10th,Female,90.6,70.6,65.7,68.8,99,3.5,42.7,68.4
ST039,Kavya Verma,8th,Male,75.7,83.6,95.4,91.4,83.6,2.1,73,90.1
ST040,Nikhil Joshi,10th,Female,68.6,77.7,87,72.2,93.8,3.6,97,79
ST041,Nikhil Mehta,8th,Male,78.7,78,76.9,76.5,60.9,4.7,85.9,77.1
ST042,Anjali Singh,10th,Female,100,74.3,98.4,80.5,66.8,3.2,75.1,84.4
ST043,Isha Joshi,10th,Male,66.6,65.4,60.9,59.6,54.8,1.9,57.3,62
ST044,Shreya Patel,8th,Female,73.6,53,66,61.7,67.7,2.1,75.7,60.2
ST045,Pooja Gupta,8th,Male,85.9,79,83.4,56.4,84.1,2.5,78.9,73
ST046,Ved Desai,10th,Male,80.8,64.1,61.8,63.9,77.6,2.1,67,63.3
